time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1655935345        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935356        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935366        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935376        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935386        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935396        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935406        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935417        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935427        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935437        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935447        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935457        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935467        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935477        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935488        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935498        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935508        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935518        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935528        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935538        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935548        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935559        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935569        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935579        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935589        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935599        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935609        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935620        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935630        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935640        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935650        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935660        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935670        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935680        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935691        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935701        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935711        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935722        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935732        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935742        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935752        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935762        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935772        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935782        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935793        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935803        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935813        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935823        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935833        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935843        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935854        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935864        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935874        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935884        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935894        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935904        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935914        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935925        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935935        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935945        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935955        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935965        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935975        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935985        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935996        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936006        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936016        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936026        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936036        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936046        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936057        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936069        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936079        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936089        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936100        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936110        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936120        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936130        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936140        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936150        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936161        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936171        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936181        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936191        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936201        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936211        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936221        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936232        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936242        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936252        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936262        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936272        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936282        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936293        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936303        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936313        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936323        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936333        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936343        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936353        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936364        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936374        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936384        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936394        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936404        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936414        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936425        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936435        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936445        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936455        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936465        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936475        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936486        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936496        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936506        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936516        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936526        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936536        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936546        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936557        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936567        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936577        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936587        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936597        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936607        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936617        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936628        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936638        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936648        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936658        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936668        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936678        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936689        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936699        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936709        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936719        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936729        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936740        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936750        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936760        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936770        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936780        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936790        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936801        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936811        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936821        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936831        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936841        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936851        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936862        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936872        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936882        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936892        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936902        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936912        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936922        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936933        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936943        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936953        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936963        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
