#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935344 447280179 427375514 33685479 2314043 32847159 27494709 10012 131999 92207.31 93583.34 2562.17 3162.63
1655935354 447280179 427375514 33685479 2314043 32847332 27494809 10012 131999 92156.54 93578.41 2612.82 3168.16
1655935364 447280179 427375514 33685479 2314043 32847542 27496896 10012 131999 92101.88 91576.70 2667.07 5169.76
1655935375 447280585 427375520 33685479 2314043 32849582 27499653 10012 131999 92004.62 91522.95 2764.84 5223.08
1655935385 447280853 427375520 33685479 2314043 32852761 27500134 10012 131999 91961.29 91399.18 2808.11 5348.49
1655935395 447281638 427375520 33685479 2314043 32853000 27500338 10012 131999 91875.70 91371.13 2894.81 5374.84
1655935405 447282195 427375520 33685479 2314043 32853570 27500378 10012 131999 91805.77 91432.32 2963.68 5314.64
1655935415 447282372 427375520 33685479 2314043 32853927 27500522 10012 131999 92115.85 91736.34 2653.59 5010.78
1655935426 447282372 427375520 33685479 2314043 32853963 27500573 10012 131999 92115.65 91735.77 2653.74 5010.33
1655935436 447282372 427375520 33685479 2314043 32854001 27500622 10012 131999 92116.90 91736.27 2653.59 5009.70
1655935446 447282372 427375520 33685479 2314043 32854053 27500657 10012 131999 92117.48 91737.84 2651.92 5009.27
1655935456 447282372 427375520 33685479 2314043 32854089 27500709 10012 131999 92116.80 91737.16 2652.06 5009.41
1655935467 447282372 427375520 33685479 2314043 32854125 27500761 10012 131999 92116.20 91736.14 2653.15 5010.91
1655935477 447282372 427375520 33685479 2314043 32854161 27500813 10012 131999 92115.84 91735.69 2653.53 5010.93
1655935487 447282372 427375520 33685479 2314043 32854198 27500863 10012 131999 92116.26 91734.18 2653.09 5011.42
1655935497 447282372 427375520 33685479 2314043 32854234 27500914 10012 131999 92116.83 91737.64 2652.52 5009.48
1655935507 447282372 427375520 33685479 2314043 32854272 27500965 10012 131999 92115.75 91735.67 2653.27 5009.81
1655935518 447282372 427375520 33685479 2314043 32854324 27501000 10012 131999 92116.00 91738.00 2652.00 5008.97
1655935528 447282372 427375520 33685479 2314043 32854379 27501032 10012 131999 92116.86 91738.16 2652.67 5008.41
1655935538 447282372 427375520 33685479 2314043 32854431 27501066 10012 131999 92115.84 91736.84 2653.02 5008.76
1655935548 447282372 427375520 33685479 2314043 32854467 27501117 10012 131999 92115.83 91736.62 2652.53 5010.04
1655935558 447282372 427375520 33685479 2314043 32854505 27501166 10012 131999 92116.57 91736.55 2651.89 5009.49
1655935568 447282372 427375520 33685479 2314043 32854557 27501201 10012 131999 92116.19 91737.49 2652.77 5008.98
1655935578 447282372 427375520 33685479 2314043 32854610 27501234 10012 131999 92116.54 91738.05 2652.42 5008.50
1655935589 447282372 427375520 33685479 2314043 32854645 27501285 10012 131999 92117.41 91738.04 2651.93 5009.10
1655935599 447282372 427375520 33685479 2314043 32854682 27501336 10012 131999 92116.08 91736.68 2653.27 5009.90
1655935609 447282372 427375520 33685479 2314043 32854720 27501385 10012 131999 92116.34 91737.12 2652.64 5009.35
1655935619 447282372 427375520 33685479 2314043 32854775 27501417 10012 131999 92115.35 91741.93 2653.64 5004.53
1655935629 447282372 427375520 33685479 2314043 32854815 27501464 10012 131999 92115.77 91741.49 2652.59 5005.16
1655935639 447282372 427375520 33685479 2314043 32854855 27501513 10012 131999 92115.39 91743.09 2653.11 5003.37
1655935649 447282372 427375520 33685479 2314043 32854906 27501551 10012 131999 92116.59 91741.85 2652.36 5005.25
1655935660 447282372 427375520 33685479 2314043 32854941 27501603 10012 131999 92116.19 91740.81 2653.21 5006.30
1655935670 447282372 427375520 33685479 2314043 32854976 27501655 10012 131999 92117.24 91740.96 2652.11 5005.66
1655935680 447282372 427375520 33685479 2314043 32855013 27501705 10012 131999 92116.70 91740.88 2652.71 5006.21
1655935690 447282372 427375520 33685479 2314043 32855052 27501754 10012 131999 92116.59 91741.36 2652.34 5005.16
1655935700 447282372 427375520 33685479 2314043 32855104 27501788 10012 131999 92116.31 91743.14 2652.14 5003.87
1655935710 447282372 427375520 33685479 2314043 32855156 27501824 10012 131999 92116.70 91743.04 2652.65 5004.07
1655935720 447282372 427375520 33685479 2314043 32855196 27501873 10012 131999 92116.37 91743.20 2652.14 5003.77
1655935731 447282372 427375520 33685479 2314043 32855247 27501909 10012 131999 92117.23 91741.20 2651.62 5004.95
1655935741 447282372 427375520 33685479 2314043 32855284 27501960 10012 131999 92116.69 91741.20 2652.66 5005.88
1655935751 447282372 427375520 33685479 2314043 32855319 27502012 10012 131999 92116.69 91741.94 2652.20 5004.65
1655935761 447282372 427375520 33685479 2314043 32855355 27502063 10012 131999 92116.55 91740.67 2652.87 5005.93
1655935772 447282372 427375520 33685479 2314043 32855393 27502113 10012 131999 92117.38 91741.35 2652.12 5005.21
1655935782 447282372 427375520 33685479 2314043 32855443 27502150 10012 131999 92116.62 91741.75 2652.23 5004.34
1655935792 447282372 427375520 33685479 2314043 32855479 27502201 10012 131999 92116.65 91741.04 2652.21 5005.54
1655935802 447282372 427375520 33685479 2314043 32855517 27502259 10012 131999 92116.29 91742.25 2651.74 5004.21
1655935812 447282372 427375520 33685479 2314043 32855570 27502293 10012 131999 92118.16 91741.57 2650.73 5005.46
1655935822 447282372 427375520 33685479 2314043 32855609 27502342 10012 131999 92117.08 91742.50 2651.89 5004.48
1655935832 447282372 427375520 33685479 2314043 32855661 27502377 10012 131999 92116.55 91742.53 2651.89 5003.94
1655935842 447282372 427375520 33685479 2314043 32855714 27502411 10012 131999 92116.30 91742.55 2652.68 5003.92
1655935853 447282372 427375520 33685479 2314043 32855765 27502448 10012 131999 92117.46 91742.76 2651.39 5003.36
1655935863 447282372 427375520 33685479 2314043 32855802 27502498 10012 131999 92118.45 91743.36 2650.90 5003.23
1655935873 447282372 427375520 33685479 2314043 32855837 27502549 10012 131999 92118.95 91742.19 2650.01 5004.91
1655935883 447282372 427375520 33685479 2314043 32855873 27502600 10012 131999 92118.05 91742.15 2650.93 5004.86
1655935893 447282372 427375520 33685479 2314043 32855926 27502635 10012 131999 92116.75 91741.54 2651.20 5005.50
1655935903 447282372 427375520 33685479 2314043 32855980 27502668 10012 131999 92116.72 91742.94 2651.31 5003.53
1655935913 447282372 427375520 33685479 2314043 32856030 27502707 10012 131999 92117.63 91742.46 2650.73 5004.12
1655935924 447282372 427375520 33685479 2314043 32856066 27502758 10012 131999 92118.25 91741.10 2650.60 5005.52
1655935934 447282372 427375520 33685479 2314043 32856103 27502807 10012 131999 92117.82 91741.95 2650.58 5004.68
1655935944 447282372 427375520 33685479 2314043 32856143 27502858 10012 131999 92117.89 91741.79 2651.07 5005.17
1655935954 447282372 427375520 33685479 2314043 32856194 27502893 10012 131999 92117.46 91742.39 2651.56 5004.07
1655935964 447282372 427375520 33685479 2314043 32856247 27502928 10012 131999 92117.50 91743.75 2651.52 5003.28
1655935974 447282372 427375520 33685479 2314043 32856299 27502963 10012 131999 92118.43 91742.64 2651.56 5003.83
1655935984 447282372 427375520 33685479 2314043 32856351 27502999 10012 131999 92117.81 91741.14 2651.56 5004.95
1655935995 447282372 427375520 33685479 2314043 32856387 27503050 10012 131999 92118.74 91742.69 2650.12 5004.38
1655936005 447282372 427375520 33685479 2314043 32856423 27503103 10012 131999 92118.03 91741.41 2650.82 5005.67
1655936015 447282372 427375520 33685479 2314043 32856460 27503153 10012 131999 92118.94 91742.21 2650.48 5004.75
1655936025 447282372 427375520 33685479 2314043 32856511 27503189 10012 131999 92119.22 91742.46 2650.24 5004.12
1655936035 447282372 427375520 33685479 2314043 32856548 27503240 10012 131999 92119.17 91740.87 2650.23 5006.25
1655936045 447282372 427375520 33685479 2314043 32856586 27503291 10012 131999 92118.92 91742.06 2649.54 5004.96
1655936055 447282372 427375520 33685479 2314043 32856634 27503329 10012 131999 92118.61 91741.84 2650.81 5004.78
